TimeStamp,Gender,Age,Location,Time_of_class_(pm),Duration_(min)
1/3/2022 19:09:29,M,16-30,Pak,10:30,60
1/3/2022 19:09:33,M,16-30,Pak,10:00,60
1/3/2022 19:09:33,M,16-30,Pak,10:00,30
1/3/2022 19:09:33,M,30-40,Pak,09:30,30
1/3/2022 19:09:34,M,16-30,East,09:30,60
1/3/2022 19:09:35,M,16-30,Pak,10:00,60
1/3/2022 19:09:35,M,30-40,Pak,10:30,45
1/3/2022 19:09:35,M,16-30,West,10:30,30
1/3/2022 19:09:35,M,16-30,Pak,10:00,60
1/3/2022 19:09:36,M,16-30,Pak,10:30,45
1/3/2022 19:09:36,M,16-30,Pak,10:00,60
1/3/2022 19:09:38,M,16-30,Pak,10:30,60
1/3/2022 19:09:38,M,16-30,Pak,09:30,30
1/3/2022 19:09:39,F,30-40,Pak,10:15,15
1/3/2022 19:09:40,M,16-30,Pak,09:45,10
1/3/2022 19:09:40,F,30-40,Pak,09:15,15